Disease,Symptom,Medicine,Precaution,Tests,Treatment Duration,Disease_Description,Consultation_Description,Nutrition_Description
Acne,"blackheads, pus filled pimples, scarring, skin rash","AcneStar, Benzoyl Peroxide, Retinoid","Avoid touching face frequently, Cleanse skin gently, Use oil-free skincare products","Skin examination, Blood tests (for hormonal imbalance)",1-3 months,"A common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples, blackheads, and cysts.",Consult a dermatologist if acne persists or worsens despite over-the-counter treatments.,"Eat a balanced diet with low dairy and sugar intake, and consume foods rich in antioxidants and omega-3 fatty acids."
AIDS,"extra marital contacts, muscle wasting, patches in throat","Kaletra, Efavirenz, Zidovudine","Use protection during sex, Regular health check-ups, Avoid contact with blood","HIV test (ELISA, Western Blot), CD4 count, Viral load test",Lifelong,"A life-threatening condition caused by the human immunodeficiency virus (HIV), which attacks the immune system and reduces the body's ability to fight infections.",Consult an infectious disease specialist for proper treatment and management.,"Maintain a nutrient-rich diet with high protein intake, and include fresh fruits and vegetables to support immunity."
Allergy,"chills, continuous sneezing, shivering, watering from eyes","Cetirizine, Loratadine, Fexofenadine","Avoid allergens, Use air purifiers, Keep windows closed during pollen season","Skin prick test, Blood tests (IgE levels)",Ongoing (seasonal or as needed),"An immune system overreaction to allergens such as pollen, dust, food, or pet dander, causing symptoms like sneezing, itching, and watery eyes.",Consult an allergist for tests and long-term management strategies.,"Consume anti-inflammatory foods such as turmeric, ginger, and vitamin C-rich fruits to reduce allergic reactions."
Arthritis,"movement stiffness, muscle weakness, painful walking, stiff neck, swelling joints","Ibuprofen, Naproxen, Diclofenac","Exercise regularly, Maintain healthy weight, Avoid prolonged inactivity","X-ray, MRI, Blood tests (Rheumatoid factor, ESR)",Ongoing (chronic condition),"A condition causing inflammation of the joints, leading to pain, stiffness, and decreased mobility.",Consult a rheumatologist for diagnosis and management strategies.,"Eat foods rich in omega-3 fatty acids, such as fish and nuts, and avoid processed foods that may trigger inflammation."
Asthma,"shortness of breath, wheezing, chest tightness, coughing, chronic coughing, phlegm production, chest discomfort","Salbutamol, Montelukast, Beclometasone","Avoid smoke and dust, Monitor breathing regularly, Keep inhaler nearby","Spirometry, Peak flow measurement, Blood tests (IgE levels)",Ongoing (chronic condition),"A chronic condition that affects the airways, causing difficulty in breathing due to inflammation and narrowing of the bronchial tubes.",Consult a pulmonologist for proper medication and breathing exercises.,"Consume foods rich in vitamin D and antioxidants, and avoid dairy and processed foods that may worsen symptoms."
Bipolar Disorder,"mood swings, manic episodes, depressive episodes","Lithium, Valproate, Quetiapine","Stay consistent with medication, Avoid alcohol, Get adequate sleep","Psychological evaluation, Blood tests (Thyroid function)",Ongoing (chronic condition),"A mental health disorder characterized by extreme mood swings, including emotional highs (mania) and lows (depression).",Consult a psychiatrist for therapy and medication management.,"Maintain a diet rich in omega-3 fatty acids, whole grains, and lean proteins to support brain health."
Breast Cancer,"lump in breast, nipple changes, skin changes, extreme thirst, blurry vision, excessive urination","Tamoxifen, Letrozole, Anastrozole","Regular mammograms, Maintain a healthy lifestyle, Avoid alcohol and smoking","Mammogram, Biopsy, Ultrasound",6-12 months (follow-up treatment may continue),A type of cancer that forms in the breast cells and can spread to other parts of the body if untreated.,Consult an oncologist for proper diagnosis and treatment options.,"Consume a diet rich in antioxidants, fiber, and healthy fats, and avoid processed meats and excessive sugar."
Bronchial Asthma,"breathlessness, cough, family history, fatigue, high fever, mucoid sputum","Albuterol, Fluticasone, Salmeterol","Avoid exposure to cold air, Limit exposure to smoke, Maintain a clean living environment","Spirometry, Chest X-ray, Peak flow measurement",Ongoing (chronic condition),"A respiratory condition that causes airway inflammation, leading to difficulty breathing and wheezing.",Consult a pulmonologist for treatment and inhaler management.,"Eat anti-inflammatory foods such as ginger, garlic, and omega-3-rich foods, and avoid dairy and processed foods."
Bronchitis,"cough, mucus production, fatigue, chest discomfort, unexplained bruising, bone fractures, joint pain","Amoxicillin, Doxycycline, Azithromycin","Stay hydrated, Avoid irritants like smoke, Take rest","Chest X-ray, Sputum culture, Pulmonary function tests",2-4 weeks,"Inflammation of the bronchial tubes, causing coughing, mucus production, and breathing difficulties.",Consult a general physician for proper antibiotics and symptom management.,"Increase fluid intake, consume honey and ginger, and avoid alcohol and processed foods."
Cervical spondylosis,"back pain, dizziness, loss of balance, neck pain, weakness in limbs","Ibuprofen, Diclofenac, Naproxen","Avoid heavy lifting, Practice proper posture, Do neck exercises","X-ray, MRI, CT scan",Ongoing (long-term management),"A degenerative condition affecting the cervical spine, leading to neck pain, stiffness, and reduced mobility.",Consult an orthopedic specialist for physiotherapy and pain management.,"Consume foods rich in calcium and vitamin D, and maintain a healthy weight to reduce strain on the spine."
